"店舗名／法人名","都道府県","提案区分","ドリスロ提案区分","エリア表記(ドリスロ)","DMM_エリア表記","インフル依頼","フェーズ","案件 所有者","初開催フラグ","イベント日"
"FACE1100瑞穂","東京都","ZIZAI_ドリスロ","3台並び","西多摩郡瑞穂町ザ・モールみずほ１６ そばのお店","","カリスマ","100%：受注確定","室屋 雄三","0","2022/12/25"
"マルハン平沢店","神奈川県","ZIZAI_ドリスロ","3台並び","秦野市平沢","","take6","100%：受注確定","佐藤 寿","0","2022/12/25"
"夢広場ニューセブン利府街道店","宮城県","ZIZAI_ドリスロ","3台並び","仙台バイパスより利府街道に降りてスグ","","ずんだ","100%：受注確定","小野田 眞一","0","2022/12/25"
"エスパス日拓溝の口駅前本館","神奈川県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","溝の口駅前 盛岡ラーメン松虎亭近く","","take6","100%：受注確定","佐藤 寿","0","2022/12/25"
"アリーナ岩槻本店","埼玉県","ZIZAI_ドリスロ","ジャグ・ハナ","さいたま市岩槻区表慈恩寺","","塊","100%：受注確定","吉川 英優","0","2022/12/25"
"Happy　BOSS","栃木県","ZIZAI_ドリスロ","全台; 3台並び","","","エルモ","100%：受注確定","吉川 英優","0","2022/12/25"
"やすだ所沢店","埼玉県","DMM_ドリスロ","3台並び","所沢インター降りてマクドナルド目の前の店舗","所沢インター降りてマクドナルド目の前の店舗","いけちん","100%：受注確定","DMM入力用","0","2022/12/25"
"アリーナ平塚店","埼玉県","ZIZAI_ドリスロ","3台並び","上尾市 ラウンドワン近くのスロ専","","れお","100%：受注確定","吉川 英優","0","2022/12/25"
"パラッツォ赤坂店","埼玉県","ZIZAI_ドリスロ","3台並び","狭山市 赤坂ゴルフコース隣","","塊","100%：受注確定","高野 純一","0","2022/12/25"
"BLESS","兵庫県","DMM_ドリスロ","3台並び; ジャグ・ハナ","","BLESS","","100%：受注確定","DMM入力用","0","2022/12/25"
"マルハン萩原東店","静岡県","ZIZAI_ドリスロ","3台並び","御殿場市内富士山に近いお店","","フル","100%：受注確定","横井 智","0","2022/12/25"
"パラッツォ蕨店","埼玉県","ZIZAI_ドリスロ","全台; ジャグ・ハナ","蕨市 蕨駅東口駅前の大型店","","いけちん","100%：受注確定","高野 純一","0","2022/12/25"
"ミリー西浦和店","埼玉県","ZIZAI_ドリスロ","ジャグ・ハナ","さいたま市桜区中島17号BP沿い","","れお","100%：受注確定","吉川 英優","0","2022/12/25"
"第一プラザ西浦和店","埼玉県","ZIZAI_ドリパチ","","さいたま市桜区町谷","","塊","100%：受注確定","吉川 英優","0","2022/12/25"
"ワンダーBOSS","栃木県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","","","エルモ","100%：受注確定","吉川 英優","0","2022/12/25"
"チャレンジャー町田野津田","東京都","DMM_ドリスロ","3台並び; ジャグ・ハナ","","町田市野津田のリス園の近く","","100%：受注確定","DMM入力用","1","2022/12/25"
"マルハンいわき店","福島県","ZIZAI_ドリパチ","","いわき市平セブンイレブン近く","","ずんだ","100%：受注確定","佐藤 寿","0","2022/12/25"
"D’STATION館林店","群馬県","ZIZAI_ドリスロ","ジャグ・ハナ","北関東D②","","カリスマ","100%：受注確定","吉川 英優","0","2022/12/25"
"ZAP京急久里浜店","神奈川県","ZIZAI_ドリスロ","ジャグ・ハナ","京急久里浜駅前いきなりステーキ横隣のお店","","take6","100%：受注確定","佐藤 寿","1","2022/12/26"
"FACE1100瑞穂","東京都","ZIZAI_ドリスロ","3台並び","西多摩郡瑞穂町ザ・モールみずほ１６ そばのお店","","カリスマ","100%：受注確定","室屋 雄三","0","2022/12/26"
"JOY PARK赤井店","宮城県","DMM_ドリスロ","3台並び","東松島市赤井　ドンキホーテ近く","東松島市赤井　ドンキホーテ石巻街道矢本店近く","ずんだ","100%：受注確定","DMM入力用","0","2022/12/26"
"やすだ大和店","神奈川県","DMM_ドリスロ","3台並び","","国道246沿い大和橋　境川付近","take6","100%：受注確定","DMM入力用","0","2022/12/26"
"JOY PARK湊店","宮城県","DMM_ドリスロ","全台; 3台並び","石巻市湊　薬王堂近く","石巻市湊　薬王堂近く","ずんだ","100%：受注確定","DMM入力用","0","2022/12/26"
"ビックつばめ郡山店","福島県","ZIZAI_ドリスロ","全台","郡山市富久山町久保田字太郎殿前","","ずんだ","100%：受注確定","佐藤 寿","0","2022/12/26"
"アリーナ鶴瀬店","埼玉県","ZIZAI_ドリスロ","3台並び","鶴瀬駅徒歩1分のお店","","塊","100%：受注確定","吉川 英優","0","2022/12/26"
"アミューズメントコミュニティJURAKU王子店","東京都","ZIZAI_ドリスロ","全台","JR王子駅北口を出てすぐ目の前のお店","","カリスマ","100%：受注確定","佐藤 寿","0","2022/12/27"
"ミリオン明石店","兵庫県","ZIZAI_ドリスロ","全台; 3台並び; ジャグ・ハナ","","","ビクトリー","100%：受注確定","高野 純一","0","2022/12/27"
"D’STATION仙台泉店","宮城県","ZIZAI_ドリスロ","3台並び","仙台市泉区市名坂ミニストップの隣","","ずんだ","100%：受注確定","吉川 英優","0","2022/12/27"
"ビックつばめ郡山店","福島県","ZIZAI_ドリスロ","全台","郡山市富久山町久保田字太郎殿前","","ずんだ","100%：受注確定","佐藤 寿","0","2022/12/27"
"スーパーBOSS","栃木県","ZIZAI_ドリスロ","全台; 3台並び","スーパーBOSS","","エルモ,いけちん","100%：受注確定","吉川 英優","0","2022/12/27"
"一番舘柏店","千葉県","ZIZAI_ドリスロ","3台並び","柏市豊四季駅","","ミスター","100%：受注確定","吉川 英優","0","2022/12/27"
"やすだ前橋店","群馬県","DMM_ドリスロ","3台並び; ジャグ・ハナ","北関東Ｙ①","やすだ前橋店","エルモ","100%：受注確定","DMM入力用","0","2022/12/27"
"マルハン袖師店","静岡県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","149号しみずマリンロード沿いのお店","","フル","100%：受注確定","横井 智","0","2022/12/27"
"パールショップともえセンター南店","神奈川県","ZIZAI_ドリスロ","全台; 3台並び; ジャグ・ハナ","都筑区茅ヶ崎中央　センター南駅から直結のお店","","take6","100%：受注確定","高野 純一","0","2022/12/27"
"マルハン東新田店","静岡県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","静岡大橋西交差点すぐのお店","","フル","100%：受注確定","横井 智","0","2022/12/27"
"マルハン富士宮駅南店","静岡県","ZIZAI_ドリスロ","3台並び","JR富士宮駅近くのお店","","フル","100%：受注確定","横井 智","0","2022/12/27"
"パールショップともえ稲毛長沼店","千葉県","ZIZAI_ドリスロ","全台; 3台並び","稲毛区ローソンスリーエフ稲毛長沼店隣","","ミスター","100%：受注確定","高野 純一","0","2022/12/27"
"パールショップともえ稲毛長沼店","千葉県","ZIZAI_ドリパチ","","稲毛区ローソンスリーエフ稲毛長沼店隣","","ミスター","100%：受注確定","高野 純一","0","2022/12/27"
"やすだ稲毛駅前店","千葉県","DMM_ドリスロ","3台並び","","稲毛駅東口 千葉銀行近く","ミスター","100%：受注確定","DMM入力用","1","2022/12/27"
"やすだ戸田店","埼玉県","DMM_ドリスロ","3台並び","","戸田駅前の店舗","いけちん","100%：受注確定","DMM入力用","0","2022/12/27"
"ミリオン習志野店","千葉県","ZIZAI_ドリスロ","3台並び","船橋市習志野４丁目コジマ向かいのお店","","ミスター","100%：受注確定","高野 純一","0","2022/12/27"
"マルハン深谷店","埼玉県","ZIZAI_ドリスロ","3台並び","深谷市役所近く","","塊,いけちん","100%：受注確定","高野 純一","0","2022/12/27"
"ミクちゃんアリーナ西脇店","兵庫県","DMM_ドリスロ","3台並び; ジャグ・ハナ","","ミクちゃんアリーナ西脇店","ビクトリー","100%：受注確定","DMM入力用","0","2022/12/27"
"パールショップともえ大和560","神奈川県","ZIZAI_ドリスロ","3台並び","大和市深見東のかつや隣","","","100%：受注確定","高野 純一","0","2022/12/28"
"チャンピオン田名","神奈川県","ZIZAI_ドリスロ","3台並び","相模原市中央区田名　うどん屋さんの隣のお店","","take6","100%：受注確定","佐藤 寿","0","2022/12/28"
"マルハン綾瀬上土棚店","神奈川県","ZIZAI_ドリスロ","3台並び","綾瀬市上土棚北","","take6","100%：受注確定","佐藤 寿","0","2022/12/28"
"JOY PARK湊店","宮城県","DMM_ドリスロ","全台; 3台並び","石巻市湊　薬王堂近く","石巻市湊　薬王堂近く","ずんだ","100%：受注確定","DMM入力用","0","2022/12/28"
"スーパーBOSS","栃木県","ZIZAI_ドリスロ","全台; 3台並び","スーパーBOSS","","エルモ,いけちん","100%：受注確定","吉川 英優","0","2022/12/28"
"マルハン前橋天川大島店","群馬県","ZIZAI_ドリスロ","3台並び","北関東M④","","","100%：受注確定","吉川 英優","0","2022/12/28"
"アスカ熊谷店","埼玉県","ZIZAI_ドリスロ","全台; 3台並び","熊谷市肥塚の天神山バス停付近のお店","","塊","100%：受注確定","吉川 英優","0","2022/12/28"
"ピーアーク草加","埼玉県","ZIZAI_ドリスロ","3台並び","草加駅西口のお店","","いけちん","100%：受注確定","佐藤 寿","0","2022/12/28"
"マルハンメガシティ静岡","静岡県","ZIZAI_ドリスロ","3台並び","駿河区富士見台の大型店","","フル","100%：受注確定","横井 智","0","2022/12/28"
"マルハン吉原店","静岡県","ZIZAI_ドリスロ","全台; 3台並び","富士市ラウンドワン付近のお店","","フル","100%：受注確定","横井 智","0","2022/12/28"
"キング会館名東店","愛知県","DMM_ドリスロ","3台並び; ジャグ・ハナ; オキドキ・チバリヨ","","名古屋市名東保育園付近のお店","こぜ6","100%：受注確定","DMM入力用","0","2022/12/28"
"モナコ別府","兵庫県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ; オキドキ・チバリヨ","兵庫県別府駅付近のお店","","ビクトリー","100%：受注確定","横井 智","0","2022/12/28"
"やすだ三郷店","埼玉県","DMM_ドリスロ","3台並び","武蔵野線三郷駅徒歩１５分シャトレーゼそば","武蔵野線三郷駅徒歩15分","いけちん","100%：受注確定","DMM入力用","0","2022/12/28"
"マルハン沼津店","静岡県","ZIZAI_ドリスロ","3台並び","沼津市1号線付近のお店","","フル","100%：受注確定","横井 智","0","2022/12/28"
"マルハン沼津店","静岡県","ZIZAI_ドリパチ","","沼津市1号線付近のお店","","フル","100%：受注確定","横井 智","0","2022/12/28"
"マルハン中原店","静岡県","ZIZAI_ドリスロ","3台並び","富士宮市登山道入り口近くのお店","","フル","100%：受注確定","横井 智","0","2022/12/28"
"やすだ戸田店","埼玉県","DMM_ドリスロ","3台並び","","戸田駅前の店舗","いけちん","100%：受注確定","DMM入力用","0","2022/12/28"
"コンパル橋本","神奈川県","ZIZAI_ドリスロ","全台","相模原市緑区西橋本スシロー前","","take6","100%：受注確定","小野田 眞一","0","2022/12/28"
"第一プラザ西浦和店","埼玉県","ZIZAI_ドリパチ","","さいたま市桜区町谷","","塊","100%：受注確定","吉川 英優","0","2022/12/28"
"アリーナ桶川店","埼玉県","ZIZAI_ドリスロ","3台並び","桶川市加納小学校近くのお店","","いけちん","100%：受注確定","吉川 英優","0","2022/12/28"
"FACE1100瑞穂","東京都","ZIZAI_ドリスロ","3台並び","西多摩郡瑞穂町ザ・モールみずほ１６ そばのお店","","カリスマ","100%：受注確定","室屋 雄三","0","2022/12/29"
"マルハンメガシティ横浜町田店","神奈川県","ZIZAI_ドリスロ","3台並び","横浜市瀬谷区目黒町","","take6","100%：受注確定","佐藤 寿","0","2022/12/29"
"マルハン会津若松一箕店","福島県","ZIZAI_ドリスロ","3台並び","会津若松市一箕町　平面駐車場のお店","","ずんだ","100%：受注確定","佐藤 寿","0","2022/12/29"
"スーパーBOSS","栃木県","ZIZAI_ドリスロ","全台; 3台並び","スーパーBOSS","","エルモ,いけちん","100%：受注確定","吉川 英優","0","2022/12/29"
"アスカ狭山店","埼玉県","ZIZAI_ドリスロ","全台","狭山市智光山公園側","","","100%：受注確定","吉川 英優","0","2022/12/29"
"チャレンジャー7","東京都","DMM_ドリスロ","全台; 3台並び; ジャグ・ハナ","","拝島駅徒歩1分のお店","","100%：受注確定","DMM入力用","1","2022/12/29"
"ｙｏｕｔ碧南店","愛知県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","碧南市油ヶ淵付近のお店","","こぜ6","100%：受注確定","横井 智","0","2022/12/29"
"マルハン吉原店","静岡県","ZIZAI_ドリスロ","3台並び","富士市ラウンドワン付近のお店","","フル","100%：受注確定","横井 智","0","2022/12/29"
"マルハン会津若松店","福島県","ZIZAI_ドリスロ","3台並び","会津若松市ゴルフ練習場横のお店","","ずんだ","100%：受注確定","佐藤 寿","0","2022/12/29"
"マルハン館林店","群馬県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","北関東Ｍ②","","エルモ","100%：受注確定","吉川 英優","0","2022/12/29"
"チャレンジャー光が丘","東京都","DMM_ドリスロ","全台; 3台並び; ジャグ・ハナ","","練馬区旭町のお店","","100%：受注確定","DMM入力用","1","2022/12/29"
"マルハン中原店","静岡県","ZIZAI_ドリスロ","3台並び","富士宮市登山道入り口近くのお店","","フル","100%：受注確定","横井 智","0","2022/12/29"
"ミクちゃんアリーナ学園南店","兵庫県","DMM_ドリスロ","3台並び","","ミクちゃんアリーナ学園南店","ビクトリー","100%：受注確定","DMM入力用","0","2022/12/29"
"アミューズ岩出","和歌山県","DMM_ドリスロ","3台並び","岩出市ローソン岩出大町店近く","アミューズ岩出","特攻","100%：受注確定","DMM入力用","0","2022/12/29"
"FACE1100瑞穂","東京都","ZIZAI_ドリスロ","3台並び","西多摩郡瑞穂町ザ・モールみずほ１６ そばのお店","","カリスマ","100%：受注確定","室屋 雄三","0","2022/12/30"
"ビッグアップル.加古川店","兵庫県","ZIZAI_ドリスロ","全台; 3台並び; ジャグ・ハナ","ビッグアップル.加古川店","","ビクトリー","100%：受注確定","岩下 龍介","0","2022/12/30"
"夢広場ニューセブン利府街道店","宮城県","ZIZAI_ドリスロ","3台並び","仙台バイパスより利府街道に降りてスグ","","ずんだ","100%：受注確定","小野田 眞一","0","2022/12/30"
"パチンコクリエ十日市場店","神奈川県","DMM_ドリスロ","全台","十日市場駅北口出てすぐのお店","十日市場駅北口出てすぐのお店","take6","100%：受注確定","DMM入力用","0","2022/12/30"
"アスカ狭山店","埼玉県","ZIZAI_ドリスロ","全台","狭山市智光山公園側","","","100%：受注確定","吉川 英優","0","2022/12/30"
"チャレンジャー7","東京都","DMM_ドリスロ","全台; 3台並び; ジャグ・ハナ","","拝島駅徒歩1分のお店","","100%：受注確定","DMM入力用","0","2022/12/30"
"チャレンジャー光が丘","東京都","DMM_ドリスロ","全台; 3台並び; ジャグ・ハナ","","練馬区旭町のお店","","100%：受注確定","DMM入力用","0","2022/12/30"
"FACE1100瑞穂","東京都","ZIZAI_ドリスロ","3台並び","西多摩郡瑞穂町ザ・モールみずほ１６ そばのお店","","カリスマ","100%：受注確定","室屋 雄三","0","2022/12/31"
"ジアスセンター南","神奈川県","ZIZAI_ドリスロ","ジャグ・ハナ","横浜市都筑区茅ヶ崎中央","","take6","100%：受注確定","小野田 眞一","0","2022/12/31"
"アスカ狭山店","埼玉県","ZIZAI_ドリスロ","全台","狭山市智光山公園側","","","100%：受注確定","吉川 英優","0","2022/12/31"
"FACE1100瑞穂","東京都","ZIZAI_ドリスロ","3台並び","西多摩郡瑞穂町ザ・モールみずほ１６ そばのお店","","カリスマ","100%：受注確定","室屋 雄三","0","2023/01/01"
"ジアスセンター南","神奈川県","ZIZAI_ドリスロ","ジャグ・ハナ","横浜市都筑区茅ヶ崎中央","","take6","100%：受注確定","小野田 眞一","0","2023/01/01"
"アスカ狭山店","埼玉県","ZIZAI_ドリスロ","全台","狭山市智光山公園側","","","100%：受注確定","吉川 英優","0","2023/01/01"
"アスカ杉戸店","埼玉県","ZIZAI_ドリスロ","全台; 3台並び; ジャグ・ハナ","北葛飾郡杉戸町2404","","いけちん","100%：受注確定","吉川 英優","0","2023/01/01"
"一番舘草加店","埼玉県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","草加市両新田東町","","いけちん,塊","100%：受注確定","吉川 英優","0","2023/01/01"
"アリーナ平塚店","埼玉県","ZIZAI_ドリスロ","3台並び","上尾市 ラウンドワン近くのスロ専","","れお","100%：受注確定","吉川 英優","0","2023/01/01"
"オータ川島店","埼玉県","ZIZAI_ドリスロ","3台並び","比企郡川島町のお店","","塊","100%：受注確定","吉川 英優","0","2023/01/01"
"一番舘相模原店","神奈川県","ZIZAI_ドリスロ","3台並び","相模原市北清掃工場そば","","take6","100%：受注確定","吉川 英優","1","2023/01/01"
"FACE1100瑞穂","東京都","ZIZAI_ドリスロ","3台並び","西多摩郡瑞穂町ザ・モールみずほ１６ そばのお店","","カリスマ","100%：受注確定","室屋 雄三","0","2023/01/02"
"アスカ狭山店","埼玉県","ZIZAI_ドリスロ","全台","狭山市智光山公園側","","","100%：受注確定","吉川 英優","0","2023/01/02"
"アスカ杉戸店","埼玉県","ZIZAI_ドリスロ","全台; 3台並び; ジャグ・ハナ","北葛飾郡杉戸町2404","","いけちん","100%：受注確定","吉川 英優","0","2023/01/02"
"FACE1100瑞穂","東京都","ZIZAI_ドリパチ","3台並び","西多摩郡瑞穂町ザ・モールみずほ１６ そばのお店","","カリスマ","100%：受注確定","室屋 雄三","0","2023/01/03"
"アスカ狭山店","埼玉県","ZIZAI_ドリスロ","全台","狭山市智光山公園側","","","100%：受注確定","吉川 英優","0","2023/01/03"
"アスカ杉戸店","埼玉県","ZIZAI_ドリスロ","全台; 3台並び; ジャグ・ハナ","北葛飾郡杉戸町2404","","いけちん","100%：受注確定","吉川 英優","0","2023/01/03"
"プレイブランドフェニックス姫路駅前","兵庫県","ZIZAI_ドリスロ","全台; 3台並び","兵庫県姫路駅付近のお店","","ビクトリー","100%：受注確定","横井 智","0","2023/01/03"
"アムディ野田","千葉県","ZIZAI_ドリスロ","全台; 3台並び","野田市上三ヶ尾付近のお店","","","100%：受注確定","佐藤 寿","0","2023/01/03"
"ミリー西浦和店","埼玉県","ZIZAI_ドリスロ","3台並び","さいたま市桜区中島17号BP沿い","","れお","100%：受注確定","吉川 英優","0","2023/01/03"
"マルハンいわき店","福島県","ZIZAI_ドリスロ","全台","いわき市平セブンイレブン近く","","ずんだ","100%：受注確定","佐藤 寿","0","2023/01/03"
"アミューズ西宮山手幹線通り店","兵庫県","DMM_ドリスロ","3台並び","","アミューズ西宮山手幹線通り店","","100%：受注確定","DMM入力用","0","2023/01/03"
"FACE1100瑞穂","東京都","ZIZAI_ドリスロ","3台並び","西多摩郡瑞穂町ザ・モールみずほ１６ そばのお店","","カリスマ","100%：受注確定","室屋 雄三","0","2023/01/04"
"アリーナ平塚店","埼玉県","ZIZAI_ドリスロ","3台並び","上尾市 ラウンドワン近くのスロ専","","れお","100%：受注確定","吉川 英優","0","2023/01/04"
"リッチランド","神奈川県","ZIZAI_ドリスロ","全台; 3台並び","横須賀佐原にある大型店","","take6","100%：受注確定","佐藤 寿","0","2023/01/04"
"FACE1100瑞穂","東京都","ZIZAI_ドリスロ","3台並び","西多摩郡瑞穂町ザ・モールみずほ１６ そばのお店","","カリスマ","100%：受注確定","室屋 雄三","0","2023/01/05"
"エスパス日拓溝の口駅前本館","神奈川県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","溝の口駅前 盛岡ラーメン松虎亭近く","","take6","100%：受注確定","佐藤 寿","0","2023/01/05"
"ビックつばめ郡山店","福島県","ZIZAI_ドリスロ","全台; ジャグ・ハナ","郡山市富久山町久保田字太郎殿前","","ずんだ","100%：受注確定","佐藤 寿","0","2023/01/05"
"アリーナ岩槻本店","埼玉県","ZIZAI_ドリスロ","ジャグ・ハナ","さいたま市岩槻区表慈恩寺","","いけちん","100%：受注確定","吉川 英優","0","2023/01/05"
"チャレンジャー7","東京都","DMM_ドリスロ","全台; 3台並び; ジャグ・ハナ","","拝島駅徒歩1分のお店","カリスマ","100%：受注確定","DMM入力用","0","2023/01/05"
"ｙｏｕｔ碧南店","愛知県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","碧南市油ヶ淵付近のお店","","寿司","100%：受注確定","横井 智","0","2023/01/05"
"パラッツォ三郷中央店","埼玉県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","三郷中央駅近く","","いけちん","100%：受注確定","高野 純一","0","2023/01/05"
"チャレンジャー光が丘","東京都","DMM_ドリスロ","全台; 3台並び; ジャグ・ハナ","","練馬区旭町のお店","カリスマ","100%：受注確定","DMM入力用","0","2023/01/05"
"アリーナ鶴瀬店","埼玉県","ZIZAI_ドリスロ","3台並び","鶴瀬駅徒歩1分のお店","","いけちん","100%：受注確定","吉川 英優","0","2023/01/05"
"123三木店","兵庫県","ZIZAI_ドリスロ","ジャグ・ハナ","","","ビクトリー","100%：受注確定","岩下 龍介","0","2023/01/05"
"ワンダーBOSS","栃木県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","","","エルモ,いけちん","100%：受注確定","吉川 英優","0","2023/01/05"
"P-STATION","宮城県","DMM_ドリスロ","全台; 3台並び","仙台駅西口ロフト近く","仙台駅西口ロフト近く","ずんだ","100%：受注確定","DMM入力用","0","2023/01/05"
"ゴー港店","愛知県","ZIZAI_ドリパチ","","名古屋市港区東海通沿いのお店","","寿司","100%：受注確定","横井 智","0","2023/01/05"
"ゴー港店","愛知県","ZIZAI_ドリスロ","3台並び","名古屋市港区東海通沿いのお店","","寿司","100%：受注確定","横井 智","0","2023/01/05"
"JOY PARK赤井店","宮城県","DMM_ドリスロ","3台並び","東松島市赤井　ドンキホーテ近く","東松島市赤井　ドンキホーテ石巻街道矢本店近く","ずんだ","100%：受注確定","DMM入力用","0","2023/01/06"
"JOY PARK湊店","宮城県","DMM_ドリスロ","全台; 3台並び","石巻市湊　薬王堂近く","石巻市湊　薬王堂近く","ずんだ","100%：受注確定","DMM入力用","0","2023/01/06"
"マルハン福島店","福島県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","飯坂温泉近くの立体駐車場があるお店","","ずんだ","100%：受注確定","佐藤 寿","0","2023/01/06"
"第一プラザ霞ヶ関店","埼玉県","ZIZAI_ドリスロ","3台並び","川越市小川近く","","いけちん","100%：受注確定","吉川 英優","0","2023/01/06"
"ジアス上大岡","神奈川県","ZIZAI_ドリスロ","3台並び","上大岡西","","take6","100%：受注確定","小野田 眞一","0","2023/01/06"
"ミリオン習志野店","千葉県","ZIZAI_ドリスロ","3台並び","船橋市習志野４丁目コジマ向かいのお店","","ミスター","100%：受注確定","高野 純一","0","2023/01/06"
"FACE1100瑞穂","東京都","ZIZAI_ドリスロ","3台並び","西多摩郡瑞穂町ザ・モールみずほ１６ そばのお店","","カリスマ","100%：受注確定","室屋 雄三","0","2023/01/07"
"アミューズメントコミュニティJURAKU王子店","東京都","ZIZAI_ドリスロ","全台","JR王子駅北口を出てすぐ目の前のお店","","カリスマ","100%：受注確定","佐藤 寿","0","2023/01/07"
"ベガスベガス大和町店","宮城県","DMM_ドリスロ","ジャグ・ハナ","","若林区大和町六丁の目交差点近くの店舗","","100%：受注確定","DMM入力用","0","2023/01/07"
"やすだ相模原店","神奈川県","DMM_ドリスロ","全台; ジャグ・ハナ","相模原市中央区中央　フォルクス横","相模原市中央区中央　フォルクス横","take6","100%：受注確定","DMM入力用","0","2023/01/07"
"123岩岡店","兵庫県","ZIZAI_ドリスロ","全台; 3台並び","１２３岩岡店","","ビクトリー","100%：受注確定","岩下 龍介","0","2023/01/07"
"鶴見UNO","神奈川県","ZIZAI_ドリスロ","3台並び","JR京浜東北線・鶴見駅東口駅すぐのお店","","take6","100%：受注確定","佐藤 寿","0","2023/01/07"
"仙川UNO","東京都","ZIZAI_ドリスロ","3台並び","京王線・仙川駅","","荻吉","100%：受注確定","佐藤 寿","0","2023/01/07"
"本八幡UNO","千葉県","ZIZAI_ドリスロ","3台並び","JR総武線・本八幡駅北口すぐのお店","","ミスター","100%：受注確定","佐藤 寿","0","2023/01/07"
"PIA柏 パチンコ館","千葉県","ZIZAI_ドリパチ","","柏市柏","","ミスター","100%：受注確定","佐藤 寿","0","2023/01/07"
"一番舘柏店","千葉県","ZIZAI_ドリスロ","3台並び","柏市豊四季駅","","ミスター","100%：受注確定","吉川 英優","0","2023/01/07"
"南柏UNO","千葉県","ZIZAI_ドリスロ","3台並び","JR常磐線・南柏駅西口のお店","","ミスター","100%：受注確定","佐藤 寿","0","2023/01/07"
"チャレンジャー7","東京都","DMM_ドリスロ","3台並び; ジャグ・ハナ","","拝島駅徒歩1分のお店","","100%：受注確定","DMM入力用","0","2023/01/07"
"スーパーライブガーデン小山喜沢店","栃木県","ZIZAI_ドリスロ","全台; 3台並び; ジャグ・ハナ","","","エルモ,いけちん","100%：受注確定","吉川 英優","0","2023/01/07"
"マルハン倉賀野店","群馬県","ZIZAI_ドリスロ","3台並び","北関東Ｍ①","","エルモ","100%：受注確定","吉川 英優","0","2023/01/07"
"一番舘草加店","埼玉県","ZIZAI_ドリスロ","3台並び","草加市両新田東町","","いけちん","100%：受注確定","吉川 英優","0","2023/01/07"
"ライブガーデン鹿沼グランドシティ","栃木県","ZIZAI_ドリスロ","全台","","","エルモ,いけちん","100%：受注確定","佐藤 寿","0","2023/01/07"
"プラザ上大岡アンドミラージュ","神奈川県","DMM_ドリスロ","全台; 3台並び","横浜市上大岡西M","横浜市上大岡西M","take6","100%：受注確定","DMM入力用","0","2023/01/07"
"モナコ別府","兵庫県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ; オキドキ・チバリヨ","兵庫県別府駅付近のお店","","特攻","100%：受注確定","横井 智","0","2023/01/07"
"チャレンジャー光が丘","東京都","DMM_ドリスロ","3台並び; ジャグ・ハナ","","練馬区旭町のお店","","100%：受注確定","DMM入力用","0","2023/01/07"
"ピーアーク千葉駅前","千葉県","ZIZAI_ドリスロ","3台並び","千葉駅東口駅前の大型店","","ミスター","100%：受注確定","佐藤 寿","0","2023/01/07"
"キクヤ千葉店","千葉県","ZIZAI_ドリスロ","3台並び","千葉市中央区末広5丁目交差点近く","","ミスター","100%：受注確定","高野 純一","0","2023/01/07"
"秋葉原UNO","東京都","ZIZAI_ドリスロ","3台並び","秋葉原駅ガード下","","荻吉","100%：受注確定","佐藤 寿","0","2023/01/07"
"ホームラン津店","三重県","DMM_ドリスロ","ジャグ・ハナ","","ホームラン津店","寿司","100%：受注確定","DMM入力用","0","2023/01/07"
"一番舘内谷店","埼玉県","ZIZAI_ドリスロ","3台並び","さいたま市南区内谷 浦和南 I.C.近く","","いけちん","100%：受注確定","吉川 英優","0","2023/01/07"
"三ノ輪UNO","東京都","ZIZAI_ドリスロ","3台並び","東京メトロ日比谷線・三ノ輪駅","","荻吉","100%：受注確定","佐藤 寿","0","2023/01/07"
"虹のある街北本店","埼玉県","ZIZAI_ドリスロ","3台並び","リンガーハット埼玉北本店の横","","れお","100%：受注確定","吉川 英優","0","2023/01/07"
"マルハン川口店","埼玉県","ZIZAI_ドリスロ","3台並び","川口市の川沿いのお店","","いけちん","100%：受注確定","佐藤 寿","0","2023/01/07"
"ゴードン西川口店","埼玉県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","西川口駅東口ミスタードーナツの隣","","いけちん","100%：受注確定","佐藤 寿","0","2023/01/07"
"マルハン深谷店","埼玉県","ZIZAI_ドリスロ","3台並び","深谷市役所近く","","いけちん","100%：受注確定","高野 純一","0","2023/01/07"
"北越谷UNO","埼玉県","ZIZAI_ドリスロ","3台並び","東武スカイツリーライン・北越谷駅西口すぐのお店","","塊","100%：受注確定","佐藤 寿","0","2023/01/07"
"新！ガーデン春日部","埼玉県","ZIZAI_ドリスロ","3台並び","春日部市中央","","内田さん","100%：受注確定","小野田 眞一","0","2023/01/07"
